epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.014,1.60371,6.26742,0.47654,1.12673,2.00578,0.486,0.62353,0.52088,0.22311,0.00754,0.02941,0.00112,0.00013,2.17015,7.57527,0.46767,2.46812,3.60081,0.00065,0.00065,0.00065
2,279.9,1.42574,6.27568,0.4224,1.01496,1.80031,0.24812,0.45619,0.26514,0.08623,0.00178,0.00588,0.00017,2e-05,2.8279,9.10424,0.51143,9.22945,5.67124,0.00130363,0.00130363,0.00130363
3,423.095,1.50684,6.39626,0.42096,1.0624,1.8464,0.06992,0.42941,0.04959,0.01345,0.00025,0.00588,1e-05,0,3.14662,9.35471,0.51662,99.38,10.0544,0.00194406,0.00194406,0.00194406
4,582.872,1.49251,6.28555,0.41721,1.02031,1.83376,0.48765,0.68824,0.56599,0.22817,0.02351,0.04118,0.00215,0.00035,2.50231,8.53449,0.30872,5.51426,5.10378,0.0019406,0.0019406,0.0019406
5,738.385,1.43522,5.94525,0.37625,0.98342,1.79032,0.67941,0.69812,0.73757,0.3444,0.05015,0.07647,0.00733,0.00105,2.01979,6.94436,0.30759,2.93283,3.45069,0.0019208,0.0019208,0.0019208
6,897.35,1.34982,5.79402,0.37467,0.92071,1.73186,0.53824,0.64706,0.62537,0.24273,0.24547,0.22353,0.11936,0.02456,2.18897,5.92549,0.31747,4.54123,3.50074,0.001901,0.001901,0.001901
7,1065.9,1.30151,5.40126,0.35051,0.87588,1.66962,0.78276,0.79412,0.89377,0.51306,0.18144,0.21176,0.06488,0.00993,1.59158,5.63642,0.2539,1.59806,2.64213,0.0018812,0.0018812,0.0018812
8,1214.87,1.24297,5.36657,0.35147,0.84612,1.62646,0.75229,0.88824,0.86586,0.43697,0.45771,0.38235,0.24594,0.07081,1.89477,5.18273,0.37598,1.91658,2.7199,0.0018614,0.0018614,0.0018614
9,1368.96,1.2028,5.20263,0.34184,0.84343,1.60448,0.79009,0.88562,0.88913,0.42377,0.46282,0.44706,0.30911,0.05161,1.74615,5.4391,0.56487,1.55724,2.74941,0.0018416,0.0018416,0.0018416
10,1525.49,1.20881,5.21717,0.33742,0.81476,1.60509,0.77233,0.84118,0.91379,0.55172,0.50403,0.4,0.28651,0.06475,1.67117,4.65482,0.39471,1.21167,2.68357,0.0018218,0.0018218,0.0018218
11,1686.71,1.12947,4.77466,0.3089,0.7535,1.52463,0.95393,0.97059,0.97964,0.61048,0.44393,0.42941,0.28591,0.07587,1.42093,4.76731,0.27134,0.85324,2.35632,0.001802,0.001802,0.001802
12,1839.06,1.10852,4.83876,0.31335,0.73789,1.52223,0.92256,0.94118,0.97971,0.63829,0.64303,0.55101,0.50859,0.14333,1.4576,4.23438,0.29351,1.04842,2.31148,0.0017822,0.0017822,0.0017822
13,1988.75,1.11971,4.82051,0.3128,0.75963,1.51561,0.95498,0.91765,0.93807,0.59591,0.59695,0.48824,0.36269,0.08593,1.56305,4.69008,0.28954,1.03953,2.53845,0.0017624,0.0017624,0.0017624
14,2145.81,1.0915,4.55467,0.31272,0.73819,1.49986,0.97046,0.9662,0.99355,0.59559,0.65722,0.54706,0.43147,0.13321,1.40477,3.93799,0.3401,0.80702,2.29395,0.0017426,0.0017426,0.0017426
15,2314.02,1.05509,4.48743,0.30105,0.70049,1.47701,0.96332,0.98824,0.99178,0.63407,0.54404,0.55294,0.45201,0.11273,1.35428,4.11137,0.26818,0.70413,2.37691,0.0017228,0.0017228,0.0017228
16,2466.38,0.99674,4.36254,0.29589,0.67099,1.44634,0.95585,0.97059,0.98919,0.66646,0.73694,0.68824,0.60647,0.17733,1.20971,3.56234,0.32918,0.79067,2.0292,0.001703,0.001703,0.001703
17,2638.75,0.96976,4.30722,0.28228,0.65347,1.42602,0.95941,0.9733,0.98951,0.67557,0.78202,0.69643,0.63185,0.13559,1.2708,3.74346,0.28677,0.8358,2.06782,0.0016832,0.0016832,0.0016832
18,2802.24,1.02657,4.29675,0.29273,0.66617,1.45796,0.98822,0.98683,0.99315,0.63565,0.60177,0.59412,0.43165,0.08694,1.38644,3.82824,0.31652,0.75706,2.23424,0.0016634,0.0016634,0.0016634
19,2958.51,0.96533,4.18769,0.28038,0.62958,1.40471,0.98045,0.97059,0.99249,0.68262,0.80664,0.77647,0.72346,0.23762,1.28842,3.2176,0.27972,0.65308,2.25135,0.0016436,0.0016436,0.0016436
20,3118.75,0.96208,4.05861,0.27395,0.62767,1.40881,0.95463,0.9902,0.98236,0.70159,0.70921,0.73529,0.67557,0.24462,1.34433,3.41685,0.38002,0.82234,2.20401,0.0016238,0.0016238,0.0016238
21,3280.61,0.98057,4.05506,0.27342,0.63272,1.42945,0.99386,0.99412,0.99471,0.67553,0.72888,0.71765,0.56704,0.13646,1.24969,3.60111,0.25764,0.84515,2.13841,0.001604,0.001604,0.001604
22,3446.64,0.96552,4.08054,0.26895,0.63955,1.4179,0.99396,0.96789,0.9843,0.69113,0.69613,0.68824,0.58133,0.16312,1.30603,4.00513,0.37986,0.69558,2.17365,0.0015842,0.0015842,0.0015842
23,3585.11,0.93955,4.10064,0.26785,0.60885,1.39214,0.93238,0.97647,0.9786,0.7045,0.75586,0.76489,0.73747,0.20643,1.20717,3.3228,0.29703,0.60766,2.08447,0.0015644,0.0015644,0.0015644
24,3735.63,0.92925,3.89538,0.26852,0.60127,1.38429,0.93272,0.96471,0.9826,0.64596,0.77532,0.71047,0.71398,0.2625,1.28371,3.37205,0.40356,0.71489,2.20916,0.0015446,0.0015446,0.0015446
25,3879.03,0.88499,3.93681,0.27771,0.59272,1.35795,0.96319,0.98235,0.99373,0.67766,0.82695,0.76471,0.76604,0.28104,1.27515,3.08931,0.28589,0.68345,2.12243,0.0015248,0.0015248,0.0015248
26,4037.5,0.88117,3.78821,0.2543,0.59378,1.34144,0.97695,1,0.99349,0.70604,0.85815,0.77647,0.79421,0.29244,1.15319,2.87481,0.27273,0.7181,2.28221,0.001505,0.001505,0.001505
27,4197.29,0.86492,3.76461,0.25451,0.56569,1.33792,0.93766,0.98824,0.9886,0.71064,0.82545,0.78235,0.76874,0.25365,1.15711,3.24539,0.23428,0.71658,2.12313,0.0014852,0.0014852,0.0014852
28,4356.4,0.85815,3.71659,0.26105,0.56422,1.32655,0.96545,0.98625,0.98944,0.66252,0.90277,0.87387,0.86801,0.34062,1.24923,2.63123,0.31264,0.61246,2.11928,0.0014654,0.0014654,0.0014654
29,4527.87,0.84922,3.49786,0.25249,0.5487,1.32352,0.99766,0.99412,0.995,0.71666,0.8708,0.83256,0.82066,0.32114,1.10365,2.61577,0.29504,0.53036,1.96453,0.0014456,0.0014456,0.0014456
30,4672.56,0.85158,3.59636,0.25162,0.56516,1.32026,0.99415,0.99889,0.99453,0.72186,0.83159,0.82353,0.76241,0.2874,1.11496,2.83678,0.39957,0.57199,1.9719,0.0014258,0.0014258,0.0014258
31,4821.42,0.85207,3.59547,0.25564,0.54854,1.32888,0.98235,0.98231,0.99312,0.6977,0.87827,0.82353,0.82185,0.30234,1.12903,2.92581,0.28965,0.54578,1.97794,0.001406,0.001406,0.001406
32,4968.99,0.81427,3.49859,0.23953,0.53876,1.30927,0.96677,0.98824,0.9877,0.70948,0.88312,0.88895,0.87275,0.32075,1.13562,2.79738,0.26963,0.71958,1.95998,0.0013862,0.0013862,0.0013862
33,5113.71,0.82749,3.35783,0.24188,0.53879,1.31401,0.9843,0.98824,0.99444,0.7076,0.89363,0.9,0.91076,0.384,1.33917,2.54094,0.25388,0.74693,2.25653,0.0013664,0.0013664,0.0013664
34,5261.39,0.82109,3.49948,0.24203,0.53964,1.30254,1,0.99376,0.995,0.68981,0.85259,0.78824,0.77485,0.28803,1.20127,3.09402,0.30498,0.63153,2.12284,0.0013466,0.0013466,0.0013466
35,5423.92,0.8178,3.46026,0.24163,0.52046,1.30558,0.9501,0.99412,0.99135,0.7047,0.89167,0.87059,0.88543,0.37418,1.25405,2.59031,0.28571,0.54998,2.2206,0.0013268,0.0013268,0.0013268
36,5585.82,0.81956,3.4027,0.24025,0.54394,1.30071,0.98654,1,0.99435,0.70578,0.88415,0.88824,0.86145,0.33091,1.2108,2.58839,0.24376,0.5973,2.19678,0.001307,0.001307,0.001307
37,5740.8,0.79937,3.23556,0.23937,0.52656,1.28886,0.98784,1,0.99393,0.67538,0.88451,0.9,0.87628,0.29596,1.36028,2.78053,0.25405,0.8054,2.37493,0.0012872,0.0012872,0.0012872
38,5898.21,0.77158,3.27927,0.23607,0.50309,1.27702,0.9867,0.98235,0.99417,0.7037,0.85189,0.82941,0.78913,0.28837,1.18186,2.87237,0.36266,0.59354,2.1112,0.0012674,0.0012674,0.0012674
39,6061.83,0.77625,3.24826,0.24376,0.4945,1.27623,0.97619,1,0.99471,0.73108,0.82102,0.84118,0.81785,0.34338,1.17836,2.72355,0.26464,0.6142,2.05545,0.0012476,0.0012476,0.0012476
40,6232.9,0.76459,3.22427,0.2261,0.50626,1.26192,0.95637,0.99412,0.99212,0.72602,0.86679,0.88033,0.87526,0.3818,1.38753,2.72764,0.24072,0.74322,2.37499,0.0012278,0.0012278,0.0012278
41,6374.87,0.75125,3.00257,0.22073,0.47122,1.23888,0.96398,0.99412,0.99347,0.70725,0.83982,0.86471,0.81555,0.31572,1.28332,2.91047,0.32519,0.71,2.37576,0.001208,0.001208,0.001208
42,6534.17,0.75746,3.14752,0.22357,0.47462,1.25795,0.98821,0.98612,0.99465,0.74913,0.9688,0.95294,0.95967,0.43553,1.09318,2.3449,0.26459,0.572,2.05894,0.0011882,0.0011882,0.0011882
43,6717.33,0.73017,3.10692,0.22493,0.46892,1.2345,0.99415,0.99961,0.99494,0.74258,0.92253,0.92353,0.91611,0.4342,1.13813,2.28115,0.32466,0.537,2.15167,0.0011684,0.0011684,0.0011684
44,6897.84,0.73007,3.08839,0.22273,0.4753,1.2377,0.97746,0.99412,0.99319,0.74582,0.92908,0.9,0.89787,0.37354,1.11794,2.47594,0.29259,0.55196,2.02599,0.0011486,0.0011486,0.0011486
45,7059.08,0.71396,3.02487,0.21805,0.4676,1.23049,0.97628,0.99412,0.99121,0.72668,0.94154,0.95882,0.94155,0.4314,1.20237,2.38986,0.29147,0.57754,2.06694,0.0011288,0.0011288,0.0011288
46,7226.56,0.70913,2.98487,0.22534,0.46472,1.23612,0.98721,1,0.99476,0.74787,0.95855,0.97059,0.96949,0.4339,1.07085,2.30214,0.26589,0.4754,2.00506,0.001109,0.001109,0.001109
47,7381.85,0.70814,3.00004,0.21926,0.46473,1.22302,0.98136,1,0.99387,0.73928,0.94773,0.91765,0.93119,0.37811,1.13392,2.48895,0.30753,0.53238,2.11012,0.0010892,0.0010892,0.0010892
48,7526.36,0.71823,2.92871,0.21443,0.46925,1.23286,0.98245,1,0.99417,0.73138,0.92128,0.9,0.88967,0.3539,1.1763,2.79042,0.32091,0.52264,2.16623,0.0010694,0.0010694,0.0010694
49,7688.72,0.6968,2.89896,0.21964,0.45275,1.20996,0.95438,1,0.99336,0.71896,0.95401,0.91176,0.91586,0.44079,1.12353,2.44752,0.33464,0.60976,2.0963,0.0010496,0.0010496,0.0010496
50,7848.07,0.7074,2.83905,0.22222,0.46796,1.22289,0.9548,0.99403,0.99108,0.71553,0.94524,0.89412,0.92376,0.41846,1.15973,2.48527,0.38927,0.53353,2.10162,0.0010298,0.0010298,0.0010298
51,7995.31,0.71043,2.81347,0.21535,0.46245,1.20872,0.97123,0.99295,0.99221,0.72736,0.91925,0.93746,0.93492,0.4332,1.19265,2.24218,0.32264,0.60164,2.22349,0.00101,0.00101,0.00101
52,8152.5,0.67069,2.88646,0.22111,0.4559,1.20423,0.99715,1,0.995,0.73522,0.92046,0.89412,0.89982,0.41137,1.23274,2.32111,0.34261,0.57647,2.28551,0.0009902,0.0009902,0.0009902
53,8318.24,0.68643,2.84157,0.21769,0.44429,1.20396,0.97676,0.98875,0.99333,0.71923,0.87671,0.88235,0.86607,0.34651,1.22286,2.73316,0.30685,0.5823,2.21783,0.0009704,0.0009704,0.0009704
54,8484.44,0.6703,2.74483,0.20954,0.42595,1.19342,0.97685,0.9927,0.99123,0.7243,0.89883,0.88844,0.8955,0.40759,1.19444,2.28961,0.31058,0.49657,2.15049,0.0009506,0.0009506,0.0009506
55,8649.81,0.65887,2.68612,0.2071,0.41656,1.18628,0.97912,1,0.99459,0.72694,0.92951,0.91176,0.92002,0.4442,1.16876,2.25354,0.30045,0.52017,2.1029,0.0009308,0.0009308,0.0009308
56,8816.1,0.66314,2.66536,0.21203,0.44389,1.19934,0.99161,1,0.99459,0.74016,0.92606,0.88412,0.9054,0.44476,1.12463,2.46399,0.30715,0.55379,2.07171,0.000911,0.000911,0.000911
57,8987.83,0.65932,2.58815,0.20181,0.43999,1.20028,0.99258,0.99412,0.99429,0.70279,0.90529,0.90588,0.88128,0.44007,1.19556,2.43963,0.33133,0.50126,2.2905,0.0008912,0.0008912,0.0008912
58,9144.34,0.6606,2.57751,0.20625,0.41939,1.18871,0.9941,0.99134,0.99453,0.70874,0.93106,0.87647,0.89044,0.37955,1.17227,2.73338,0.39761,0.516,2.14263,0.0008714,0.0008714,0.0008714
59,9300.18,0.65914,2.61732,0.21007,0.42383,1.17951,1,0.99915,0.995,0.73899,0.92901,0.92372,0.92055,0.43731,1.1412,2.38622,0.27839,0.504,2.11912,0.0008516,0.0008516,0.0008516
60,9457.93,0.62119,2.55584,0.20029,0.40109,1.15772,0.98312,0.98824,0.99471,0.76726,0.96721,0.95882,0.96188,0.47083,1.08688,2.0516,0.31354,0.50882,2.02199,0.0008318,0.0008318,0.0008318
61,9630.07,0.61735,2.53441,0.19532,0.4032,1.15073,0.97674,0.98813,0.99283,0.71659,0.95085,0.9104,0.92569,0.44123,1.17652,2.37231,0.27611,0.58138,2.14053,0.000812,0.000812,0.000812
62,9774.35,0.62972,2.52598,0.21064,0.41107,1.17383,0.99892,1,0.995,0.7303,0.8833,0.84706,0.84693,0.39673,1.18871,2.55526,0.38002,0.49658,2.20563,0.0007922,0.0007922,0.0007922
63,9929.45,0.62551,2.55481,0.20179,0.40828,1.15774,0.98215,0.99412,0.99339,0.71919,0.94345,0.93529,0.94512,0.44031,1.19776,2.44293,0.34026,0.57143,2.28349,0.0007724,0.0007724,0.0007724
64,10094.5,0.62883,2.48817,0.2052,0.40447,1.17025,0.99301,1,0.995,0.73199,0.95799,0.89412,0.91567,0.47942,1.14081,2.22341,0.30172,0.51487,2.21564,0.0007526,0.0007526,0.0007526
65,10259.5,0.61333,2.46243,0.2107,0.40227,1.16333,0.98835,0.99835,0.99435,0.74904,0.95673,0.91043,0.93413,0.45185,1.10638,2.27347,0.30527,0.47472,2.07656,0.0007328,0.0007328,0.0007328
66,10426.6,0.633,2.59423,0.20286,0.41674,1.18027,0.9921,1,0.99471,0.72748,0.86838,0.82353,0.78992,0.32817,1.16831,2.94163,0.37717,0.47781,2.26123,0.000713,0.000713,0.000713
67,10587.7,0.62076,2.35455,0.19571,0.40897,1.14906,0.98106,0.99412,0.99344,0.75181,0.9648,0.91176,0.94248,0.46947,1.12548,2.25671,0.32712,0.53144,2.12797,0.0006932,0.0006932,0.0006932
68,10741.7,0.60493,2.46418,0.19902,0.40044,1.1531,0.99346,1,0.99494,0.77198,0.94834,0.92353,0.92018,0.4476,1.0425,2.28502,0.3639,0.47817,2.03034,0.0006734,0.0006734,0.0006734
69,10896.2,0.59923,2.36756,0.19642,0.38645,1.14579,0.98768,1,0.99482,0.75088,0.94794,0.92353,0.92282,0.43147,1.11747,2.34397,0.34055,0.51059,2.11355,0.0006536,0.0006536,0.0006536
70,11059.5,0.58322,2.31656,0.19469,0.37562,1.1401,0.9932,1,0.995,0.76824,0.9454,0.92353,0.94333,0.47353,1.09065,2.20631,0.30694,0.46456,2.12333,0.0006338,0.0006338,0.0006338
71,11226,0.58785,2.2741,0.1936,0.37572,1.13815,0.98785,1,0.99482,0.74814,0.94586,0.9,0.91494,0.44976,1.13307,2.36606,0.35586,0.47734,2.2169,0.000614,0.000614,0.000614
72,11396,0.59008,2.42282,0.19569,0.39181,1.15217,0.97533,1,0.99265,0.75983,0.91956,0.94706,0.93682,0.42971,1.11969,2.27551,0.34679,0.48821,2.10266,0.0005942,0.0005942,0.0005942
73,11561.7,0.5943,2.27253,0.19539,0.39057,1.15461,0.98233,1,0.99483,0.747,0.97304,0.91176,0.93449,0.4434,1.14086,2.43722,0.46695,0.49227,2.16293,0.0005744,0.0005744,0.0005744
74,11739.5,0.57465,2.25573,0.19628,0.37277,1.11454,0.99306,0.99412,0.99494,0.74832,0.9254,0.87559,0.88452,0.43344,1.11023,2.4783,0.36876,0.45967,2.1518,0.0005546,0.0005546,0.0005546
75,11892,0.57377,2.22774,0.19584,0.3765,1.13904,0.99318,1,0.99488,0.7413,0.94914,0.91765,0.94451,0.45084,1.16454,2.28899,0.41076,0.50502,2.18592,0.0005348,0.0005348,0.0005348
76,12041.7,0.55572,2.15732,0.19455,0.36319,1.11796,0.99114,1,0.99412,0.74849,0.94464,0.92941,0.94835,0.47532,1.14795,2.2498,0.37135,0.48567,2.1473,0.000515,0.000515,0.000515
77,12193.2,0.54828,2.09462,0.19087,0.35869,1.09787,0.99331,0.99412,0.995,0.74831,0.96202,0.91765,0.94668,0.49194,1.14007,2.08816,0.37312,0.51536,2.14978,0.0004952,0.0004952,0.0004952
78,12353.2,0.54826,2.15417,0.18599,0.35763,1.12235,0.9701,0.98824,0.99242,0.74323,0.95685,0.91315,0.93356,0.45212,1.12335,2.34027,0.36346,0.48521,2.16181,0.0004754,0.0004754,0.0004754
79,12527,0.54227,2.17447,0.19004,0.35892,1.10809,0.99951,1,0.995,0.75653,0.95723,0.93529,0.94584,0.48091,1.09709,2.25637,0.37794,0.4645,2.0869,0.0004556,0.0004556,0.0004556
80,12698.6,0.56647,2.12528,0.19494,0.37619,1.13,0.99561,0.99412,0.995,0.74312,0.95212,0.93581,0.95645,0.49317,1.11053,2.09988,0.32965,0.48228,2.08667,0.0004358,0.0004358,0.0004358
81,12862.1,0.52673,2.04921,0.19174,0.35472,1.10658,0.99346,0.99412,0.99482,0.74075,0.98308,0.92941,0.93865,0.47209,1.13723,2.336,0.36205,0.49917,2.26226,0.000416,0.000416,0.000416
82,13036.5,0.51804,1.95076,0.18063,0.34873,1.09742,0.99907,1,0.995,0.73735,0.9688,0.91315,0.92837,0.50638,1.14906,2.20527,0.41157,0.49481,2.24484,0.0003962,0.0003962,0.0003962
83,13215.4,0.52667,2.02815,0.18908,0.3444,1.09668,0.99861,1,0.995,0.74666,0.94526,0.90588,0.91512,0.47039,1.12124,2.26331,0.35149,0.47453,2.17871,0.0003764,0.0003764,0.0003764
84,13371.2,0.52589,1.97464,0.18096,0.34369,1.10021,0.9988,1,0.995,0.75429,0.97476,0.92353,0.9473,0.54162,1.10772,1.97092,0.3807,0.43348,2.1306,0.0003566,0.0003566,0.0003566
85,13535.2,0.52825,1.93937,0.18308,0.348,1.10185,0.9981,1,0.995,0.74662,0.95785,0.94118,0.95569,0.52598,1.13041,2.02296,0.34688,0.4605,2.16242,0.0003368,0.0003368,0.0003368
86,13700.4,0.52708,1.89679,0.18267,0.33833,1.07828,1,0.99956,0.995,0.75421,0.95428,0.9,0.91425,0.48357,1.13,2.11,0.34429,0.45031,2.13912,0.000317,0.000317,0.000317
87,13867.7,0.51567,1.93663,0.18429,0.34023,1.10289,0.99355,1,0.995,0.74805,0.95479,0.92941,0.94745,0.49812,1.13791,2.10867,0.32895,0.46234,2.1689,0.0002972,0.0002972,0.0002972
88,14027.2,0.5115,1.93364,0.18361,0.33593,1.08693,1,0.99866,0.995,0.73854,0.96027,0.94706,0.95602,0.49509,1.12705,2.08063,0.33458,0.48292,2.19962,0.0002774,0.0002774,0.0002774
89,14198,0.51129,1.95628,0.18562,0.34189,1.09182,0.9974,1,0.995,0.7478,0.9555,0.94706,0.94795,0.51445,1.13876,2.066,0.35304,0.45476,2.21767,0.0002576,0.0002576,0.0002576
90,14373.1,0.50055,1.96447,0.17874,0.32853,1.07686,0.99913,1,0.995,0.74428,0.94618,0.94706,0.94702,0.51892,1.13653,2.00692,0.32874,0.4605,2.24179,0.0002378,0.0002378,0.0002378
91,14566.4,0.39985,1.32751,0.17344,0.28539,1.06235,0.98434,0.98824,0.99471,0.75334,0.975,0.9,0.92509,0.46299,1.16087,2.26104,0.33804,0.45404,2.30169,0.000218,0.000218,0.000218
92,14730.1,0.36421,1.20866,0.16244,0.23996,1.03406,1,0.99401,0.995,0.77232,0.97465,0.94706,0.9609,0.51898,1.08969,2.04233,0.36901,0.4513,2.04683,0.0001982,0.0001982,0.0001982
93,14891.2,0.36081,1.20158,0.16533,0.23569,1.03712,0.99942,1,0.995,0.78772,0.96964,0.93945,0.97129,0.52382,1.08767,2.09997,0.33047,0.42996,2.17379,0.0001784,0.0001784,0.0001784
