epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.767,1.69466,6.23434,0.51144,1.26397,2.06621,0.90743,0.94868,0.95718,0.56063,0.6264,0.45161,0.42554,0.07249,1.71576,5.09505,0.24904,0.78236,2.57028,0.00046,0.00046,0.00046
2,345.886,1.21505,5.07493,0.39153,0.74079,1.58689,0.88655,0.95699,0.96324,0.49101,0.22184,0.29032,0.09695,0.01753,1.85989,5.86249,0.31903,1.22161,3.15949,0.000930694,0.000930694,0.000930694
3,498.542,1.29941,5.55392,0.39123,0.83132,1.66788,0.87231,0.88147,0.92287,0.50368,0.15635,0.17204,0.0452,0.00619,1.90948,6.37982,0.23906,1.5906,3.43311,0.00139188,0.00139188,0.00139188
4,645.445,1.29672,5.40772,0.4111,0.80237,1.63869,0.76497,0.80645,0.8532,0.42027,0.297,0.21505,0.11354,0.0169,1.91055,6.18245,0.2057,1.61996,3.04552,0.00184357,0.00184357,0.00184357
5,782.252,1.24747,5.50753,0.37003,0.93274,1.63449,0.91153,0.86022,0.96492,0.61496,0.21086,0.1828,0.06081,0.0091,1.6968,5.9268,0.14464,1.76792,2.88336,0.0019208,0.0019208,0.0019208
6,919.369,1.21757,4.92514,0.35788,0.81481,1.58143,0.89314,0.94624,0.93543,0.54888,0.34736,0.31183,0.19354,0.03205,1.65134,5.64919,0.32441,1.33607,2.95028,0.001901,0.001901,0.001901
7,1077.35,1.12578,4.85745,0.3509,0.72753,1.53388,0.33486,0.29032,0.17692,0.05108,0.31339,0.2043,0.14154,0.03004,3.26326,6.37491,0.43193,2.72708,4.411,0.0018812,0.0018812,0.0018812
8,1216.71,1.10528,4.89866,0.3311,0.73957,1.4975,0.63962,0.65591,0.63195,0.20209,0.2379,0.22581,0.08088,0.01407,2.4539,5.55637,0.20396,2.73837,3.12873,0.0018614,0.0018614,0.0018614
9,1351.58,1.09654,4.66164,0.32552,0.67139,1.48698,0.50035,0.70968,0.63016,0.27105,0.31105,0.32043,0.21982,0.03454,2.05555,5.75293,0.25821,2.63487,2.97815,0.0018416,0.0018416,0.0018416
10,1487.14,1.09427,4.72151,0.3424,0.68819,1.51042,0.87192,0.95699,0.95292,0.62853,0.81147,0.64799,0.65994,0.17103,1.42053,3.96996,0.20984,1.11506,2.28795,0.0018218,0.0018218,0.0018218
11,1623.27,1.06683,4.36019,0.32449,0.66199,1.48129,0.95597,0.95699,0.96305,0.65185,0.72053,0.50538,0.51762,0.12154,1.48091,4.68379,0.19848,0.85627,2.75567,0.001802,0.001802,0.001802
12,1759.37,1.03064,4.19366,0.31665,0.64612,1.42275,1,0.94453,0.99109,0.71206,0.88525,0.82957,0.82224,0.29672,1.32575,3.3192,0.19313,0.80856,2.39297,0.0017822,0.0017822,0.0017822
13,1895.07,1.09922,4.51702,0.34549,0.67873,1.59517,0.80686,0.87097,0.88282,0.3585,0.22266,0.23656,0.06055,0.01115,2.1416,5.22907,0.29215,1.28893,2.88093,0.0017624,0.0017624,0.0017624
14,2034.79,1.02783,4.27013,0.31366,0.64932,1.43898,0.86058,0.79647,0.88732,0.59989,0.79538,0.62697,0.70462,0.29602,1.49697,3.9537,0.36685,0.96208,2.22968,0.0017426,0.0017426,0.0017426
15,2186,0.97931,4.04382,0.29301,0.61321,1.39379,0.92026,0.8172,0.92597,0.60825,0.73319,0.58065,0.55332,0.14536,1.38591,4.35833,0.35189,1.00169,2.21682,0.0017228,0.0017228,0.0017228
16,2319.42,0.97226,4.00686,0.28895,0.60632,1.39973,0.99692,0.96774,0.98075,0.63647,0.69784,0.67742,0.5728,0.15635,1.52518,3.91933,0.33043,0.88223,2.71528,0.001703,0.001703,0.001703
17,2453.64,0.96336,4.09837,0.31006,0.60895,1.40165,0.86762,0.91617,0.95089,0.62598,0.74562,0.66667,0.61943,0.18147,1.61432,3.87709,0.26424,0.96342,2.7561,0.0016832,0.0016832,0.0016832
18,2627.4,0.913,3.85722,0.28863,0.57112,1.36223,0.98148,0.92473,0.96527,0.65195,0.84131,0.76344,0.70486,0.15796,1.39179,3.61165,0.34273,0.74473,2.2756,0.0016634,0.0016634,0.0016634
19,2770.92,0.91486,3.98098,0.28495,0.58401,1.37621,0.94039,0.93548,0.96263,0.64559,0.78767,0.59835,0.64345,0.20173,1.48023,3.63513,0.30972,0.83752,2.34381,0.0016436,0.0016436,0.0016436
20,2910.53,0.90595,3.75801,0.27269,0.55565,1.35243,0.9528,0.95699,0.96304,0.66775,0.76822,0.64154,0.65384,0.215,1.48272,3.81304,0.26429,0.70806,2.53261,0.0016238,0.0016238,0.0016238
21,3045.58,0.87996,3.80004,0.31914,0.54853,1.33182,0.94426,0.95699,0.9661,0.68258,0.87202,0.80593,0.77974,0.31615,1.31105,3.14766,0.27701,0.73396,2.20762,0.001604,0.001604,0.001604
22,3180.23,0.8389,3.76346,0.28259,0.53875,1.30678,0.98924,0.98869,0.99332,0.71683,0.87218,0.75269,0.77813,0.30298,1.1791,3.35278,0.17653,0.65422,1.96988,0.0015842,0.0015842,0.0015842
23,3315.57,0.84965,3.57364,0.26499,0.55144,1.3116,1,0.94525,0.96751,0.71543,0.91176,0.84946,0.84112,0.30224,1.24939,3.03629,0.2091,0.67743,2.21037,0.0015644,0.0015644,0.0015644
24,3450.7,0.87548,3.53753,0.30376,0.5535,1.31524,0.97725,0.92386,0.96355,0.64398,0.93549,0.77971,0.79512,0.24592,1.48563,3.33337,0.21787,0.76331,2.46501,0.0015446,0.0015446,0.0015446
